idx,num_tokens,label,pt_yes,pt_no,pt_pred,fhe_yes,fhe_no,fhe_pred,time_sec
0,60,1,18.0312,16.8906,Yes,17.9402,16.8250,Yes,231.2
1,75,0,18.0625,17.1562,Yes,17.9474,17.0778,Yes,213.6
2,99,0,18.0312,16.8125,Yes,17.8524,16.6764,Yes,216.5
3,63,1,18.4688,17.5312,Yes,18.3718,17.4448,Yes,200.8
4,58,0,18.5312,17.2031,Yes,18.4537,17.1470,Yes,211.9
5,69,1,18.3750,17.4219,Yes,18.2631,17.3304,Yes,209.1
6,82,0,17.9531,17.0312,Yes,17.7781,16.8848,Yes,212.9
7,83,1,18.0938,17.3125,Yes,17.9370,17.1714,Yes,235.6
8,73,1,18.1875,16.7969,Yes,18.0106,16.6684,Yes,209.7
9,73,1,17.9688,17.0625,Yes,17.8173,16.9272,Yes,212.5
10,94,1,18.0000,16.9531,Yes,17.7880,16.8070,Yes,209.1
11,71,0,17.9688,16.9219,Yes,17.8812,16.8504,Yes,210.6
12,90,0,18.1094,17.0312,Yes,17.9529,16.9087,Yes,223.2
13,96,1,17.7812,16.5469,Yes,17.5418,16.4011,Yes,207.8
14,75,1,18.2188,17.1562,Yes,18.1091,17.0824,Yes,211.3
15,77,1,18.2188,17.0156,Yes,18.0746,16.9200,Yes,214.1
16,81,1,17.9219,17.0312,Yes,17.7178,16.8593,Yes,212.1
17,89,0,18.0469,16.7969,Yes,17.8736,16.6701,Yes,218.6
18,96,1,18.1250,16.7031,Yes,17.8739,16.5142,Yes,231.2
19,71,0,17.9531,16.7812,Yes,17.8071,16.6679,Yes,217.1
20,62,0,17.7656,16.8750,Yes,17.6963,16.8216,Yes,204.0
21,79,1,17.8438,16.6094,Yes,17.7193,16.5228,Yes,209.7
22,64,0,18.0625,17.1875,Yes,17.9721,17.1182,Yes,209.1
23,94,1,17.4375,16.2812,Yes,17.1816,16.0691,Yes,211.0
24,70,1,17.9688,17.1406,Yes,17.8751,17.0776,Yes,210.3
25,73,1,17.9844,16.8750,Yes,17.8189,16.7456,Yes,217.8
26,71,0,18.0781,16.9844,Yes,17.9559,16.8999,Yes,228.2
27,82,1,17.9062,16.7812,Yes,17.7111,16.6251,Yes,206.9
28,67,1,18.2188,17.3594,Yes,18.1410,17.3044,Yes,209.5
29,89,1,18.0469,16.7969,Yes,17.8332,16.6203,Yes,221.5
30,70,0,18.0938,16.9688,Yes,18.0016,16.9029,Yes,213.4
31,86,1,17.8750,16.6875,Yes,17.7171,16.5641,Yes,225.1
32,81,1,18.1406,16.9375,Yes,17.9948,16.8383,Yes,226.8
33,68,1,18.0781,16.9688,Yes,17.9626,16.8854,Yes,220.9
34,63,1,18.2500,17.2188,Yes,18.1616,17.1567,Yes,208.4
35,88,0,17.6094,16.5781,Yes,17.4191,16.4399,Yes,220.1
36,88,0,17.6562,16.5312,Yes,17.4390,16.3654,Yes,216.3
37,96,0,17.9844,17.0781,Yes,17.7597,16.8850,Yes,222.7
38,75,1,18.3281,16.6250,Yes,18.1761,16.5098,Yes,220.0
39,83,1,17.9844,17.1094,Yes,17.8396,16.9895,Yes,211.4
40,71,0,18.2656,17.0938,Yes,18.1419,16.9858,Yes,217.3
41,52,1,18.3594,16.9844,Yes,18.2858,16.9374,Yes,207.4
42,69,0,17.5625,16.6094,Yes,17.4479,16.5320,Yes,208.9
43,75,0,17.9688,17.0312,Yes,17.8286,16.9011,Yes,215.9
44,94,0,18.1406,16.8594,Yes,17.9356,16.7216,Yes,247.8
45,76,1,18.2031,16.9062,Yes,18.0609,16.8056,Yes,231.7
46,99,1,18.1875,16.8906,Yes,18.0348,16.7852,Yes,224.9
47,55,0,18.1719,16.9531,Yes,18.0869,16.8905,Yes,209.3
48,74,1,18.0625,16.8594,Yes,17.9490,16.7642,Yes,222.9
49,65,1,18.0469,16.7500,Yes,17.9725,16.7046,Yes,216.6
50,54,1,17.8750,16.8438,Yes,17.7994,16.7881,Yes,199.8
51,58,1,18.1406,16.9688,Yes,18.0553,16.9076,Yes,204.3
52,69,1,18.1875,16.9688,Yes,18.0484,16.8534,Yes,215.5
53,72,1,18.1250,16.8438,Yes,18.0140,16.7397,Yes,210.6
54,90,1,18.0938,17.1719,Yes,17.9047,17.0234,Yes,211.0
55,68,1,18.2969,17.0938,Yes,18.1990,17.0161,Yes,214.4
56,66,1,18.5312,17.5156,Yes,18.4578,17.4531,Yes,211.3
57,77,1,18.2656,17.1562,Yes,18.1540,17.0791,Yes,211.0
58,59,1,18.4688,17.2344,Yes,18.4015,17.1809,Yes,207.3
59,93,1,18.5781,17.2188,Yes,18.4412,17.1347,Yes,228.2
60,96,0,17.7188,16.6094,Yes,17.4712,16.4206,Yes,223.4
61,94,1,17.7656,16.5625,Yes,17.4824,16.3535,Yes,226.0
62,80,1,17.8125,16.7969,Yes,17.6640,16.6892,Yes,216.0
63,80,1,17.7656,16.7188,Yes,17.5875,16.5797,Yes,214.2
64,53,1,17.9375,16.9531,Yes,17.8630,16.9066,Yes,208.7
65,81,0,18.2500,16.7188,Yes,18.0908,16.5939,Yes,209.8
66,88,1,18.0781,17.0156,Yes,17.8990,16.8715,Yes,215.1
67,78,1,18.0781,16.9219,Yes,17.9941,16.8692,Yes,221.0
68,93,0,17.7969,16.7031,Yes,17.6169,16.5648,Yes,218.6
69,70,1,18.3906,17.3594,Yes,18.2886,17.2669,Yes,219.9
70,84,1,17.9844,16.7344,Yes,17.8480,16.6339,Yes,224.3
71,81,1,18.0469,16.9375,Yes,17.8701,16.7836,Yes,207.8
72,93,1,18.0625,16.8438,Yes,17.8663,16.6939,Yes,214.1
73,84,1,18.2344,17.0625,Yes,18.0768,16.9393,Yes,217.8
74,52,1,18.2812,17.2344,Yes,18.2040,17.1865,Yes,203.4
75,67,1,18.2344,17.1719,Yes,18.1236,17.0898,Yes,213.4
76,49,0,18.2188,17.0469,Yes,18.1778,17.0260,Yes,235.3
77,102,1,17.8906,16.8125,Yes,17.6347,16.6070,Yes,218.8
78,62,1,18.2031,16.8438,Yes,18.1271,16.7821,Yes,210.7
79,77,1,18.0156,17.0156,Yes,17.9452,16.9556,Yes,217.4
80,72,0,18.1094,16.8281,Yes,17.9996,16.7318,Yes,230.5
81,81,1,18.3594,17.0938,Yes,18.1900,16.9670,Yes,219.2
82,75,1,18.3281,17.0625,Yes,18.1882,16.9608,Yes,212.1
83,56,0,18.1094,17.0781,Yes,18.0236,17.0176,Yes,204.2
84,75,1,18.0469,16.7500,Yes,17.8842,16.6381,Yes,210.3
85,86,0,18.1094,17.1250,Yes,17.9759,17.0116,Yes,211.5
86,70,1,18.2812,17.1094,Yes,18.1601,17.0228,Yes,210.0
87,54,0,18.2031,17.2656,Yes,18.1246,17.2009,Yes,208.3
88,80,1,17.8281,16.7031,Yes,17.7100,16.6190,Yes,214.3
89,83,1,18.2344,16.9062,Yes,18.0741,16.7786,Yes,208.4
90,84,0,18.1406,17.0938,Yes,17.9926,16.9787,Yes,215.8
91,72,1,18.0781,17.0781,Yes,17.9565,16.9816,Yes,213.2
92,63,1,18.1875,17.1094,Yes,18.0424,16.9841,Yes,203.5
93,84,0,18.2188,17.0000,Yes,18.0585,16.8859,Yes,211.7
94,79,1,18.1406,16.9219,Yes,17.9594,16.7826,Yes,226.4
95,72,1,18.2969,17.2188,Yes,18.1716,17.1144,Yes,223.5
96,61,0,18.4375,17.2969,Yes,18.3556,17.2274,Yes,213.3
97,66,1,18.2344,16.7500,Yes,18.1089,16.6335,Yes,211.1
98,79,1,18.1719,17.0781,Yes,18.0465,16.9778,Yes,210.1
99,68,1,18.0625,16.7031,Yes,17.9433,16.6290,Yes,210.5
100,87,1,18.1562,17.1094,Yes,18.0368,17.0218,Yes,236.9
101,89,1,17.7969,16.5781,Yes,17.5409,16.3864,Yes,214.1
102,72,1,18.0938,17.0469,Yes,17.9242,16.9090,Yes,212.9
103,80,1,17.8438,16.7344,Yes,17.6955,16.6186,Yes,212.1
104,88,0,17.8906,16.8906,Yes,17.7027,16.7452,Yes,217.0
105,89,1,17.5781,16.6094,Yes,17.4179,16.4782,Yes,232.4
106,90,1,17.8438,16.8594,Yes,17.6954,16.7383,Yes,223.2
107,60,0,18.1406,16.9062,Yes,18.0452,16.8436,Yes,203.6
108,65,0,18.1562,17.1094,Yes,18.0524,17.0178,Yes,220.1
109,74,1,18.1562,17.1094,Yes,18.0686,17.0648,Yes,219.9
110,66,1,18.0469,16.7969,Yes,17.9332,16.7078,Yes,222.5
111,101,1,17.9688,16.8281,Yes,17.7310,16.6606,Yes,241.9
112,81,1,18.1250,16.8438,Yes,17.9329,16.6941,Yes,210.3
113,89,1,18.1719,17.0781,Yes,17.9655,16.9165,Yes,219.4
114,73,0,18.7031,17.8281,Yes,18.5922,17.7459,Yes,228.4
115,85,0,17.6875,16.5000,Yes,17.5279,16.3698,Yes,233.4
116,71,1,17.7344,16.8750,Yes,17.6070,16.7602,Yes,213.2
117,104,1,17.7969,16.8281,Yes,17.5610,16.6326,Yes,243.7
118,87,1,18.1094,17.0000,Yes,17.9231,16.8710,Yes,219.4
119,85,1,18.0469,16.9375,Yes,17.8696,16.7916,Yes,231.7
120,103,1,17.7344,16.7031,Yes,17.5283,16.5555,Yes,246.5
121,60,1,18.4375,17.1875,Yes,18.3588,17.1180,Yes,210.4
122,64,0,18.1719,17.1250,Yes,18.0737,17.0521,Yes,210.2
123,89,1,17.6562,16.6406,Yes,17.5558,16.5630,Yes,209.1
124,76,1,17.8594,16.7656,Yes,17.7313,16.6685,Yes,213.5
125,85,1,18.0938,16.7500,Yes,17.9480,16.6445,Yes,308.8
126,61,1,18.1250,16.8125,Yes,18.0134,16.7292,Yes,310.4
127,58,0,18.1094,16.9375,Yes,18.0051,16.8644,Yes,301.1
128,88,1,18.2969,17.0312,Yes,18.1318,16.9102,Yes,262.1
129,55,1,18.0781,16.5781,Yes,17.9948,16.5242,Yes,214.4
